date,forecast,cases
2020-02-24,456.7133859727574,229.0
2020-02-25,571.1830484504162,322.0
2020-02-26,712.7457706330396,400.0
2020-02-27,887.7382541164167,650.0
2020-02-28,1103.9391746455833,888.0
2020-02-29,1370.8760945156948,1128.0
2020-03-01,1700.1864781541117,1694.0
2020-03-02,2106.036132484695,2036.0
2020-03-03,2605.594808481623,2502.0
2020-03-04,3219.562205855102,3089.0
2020-03-05,3972.727355336304,3858.0
2020-03-06,4894.528512082794,4636.0
2020-03-07,6019.55767663727,5883.0
2020-03-08,7387.922590619581,7375.0
2020-03-09,9045.3387754859,9172.0
2020-03-10,10622.31255564628,10149.0
2020-03-11,12437.525281297421,12462.0
2020-03-12,14517.896080655924,15113.0
2020-03-13,16890.316307016517,17660.0
2020-03-14,19580.496664809267,21157.0
2020-03-15,22611.501073188636,24747.0
2020-03-16,26001.991095846497,27980.0
2020-03-17,29764.248336863526,31506.0
2020-03-18,33902.10389761494,35713.0
2020-03-19,38408.97066745391,41035.0
2020-03-20,43266.225450519385,47021.0
2020-03-21,48442.22012756215,53578.0
2020-03-22,53892.18105366669,59138.0
2020-03-23,59559.17863308689,63927.0
2020-03-24,65376.22547362994,69176.0
2020-03-25,71269.38567945694,74386.0
2020-03-26,77161.60952999169,80539.0
2020-03-27,82976.87860754362,86498.0
2020-03-28,88644.18702584933,92472.0
2020-03-29,94100.92607114353,97689.0
2020-03-30,99295.34753675,101739.0
2020-03-31,104187.94729917562,105792.0
2020-04-01,108751.78047440508,110574.0
2020-04-02,112971.85565992698,
2020-04-03,116843.84258612082,
2020-04-04,120372.35685660047,
2020-04-05,123569.06824071748,
2020-04-06,126450.83210362517,
2020-04-07,129037.98238242326,
2020-04-08,131352.8689919799,
2020-04-09,133418.6718015676,
2020-04-10,135258.4891274381,
2020-04-11,136894.67563637032,
2020-04-12,138348.39307133117,
2020-04-13,139639.33343458507,
2020-04-14,141045.85823866012,
2020-04-15,142268.0907352231,
2020-04-16,143330.12047612618,
2020-04-17,144253.31766017043,
2020-04-18,145056.46172855966,
2020-04-19,145755.9348771423,
2020-04-20,146365.95009528816,
2020-04-21,146898.7867109115,
2020-04-22,147365.02192888712,
2020-04-23,147773.74778368766,
2020-04-24,148132.7692590671,
2020-04-25,148448.7817436737,
2020-04-26,148727.5275717412,
2020-04-27,148973.9327259448,
2020-04-28,149192.225197374,
2020-04-29,149386.0369361066,
2020-04-30,149558.49118091748,
2020-05-01,149712.2770684341,
2020-05-02,149849.71321235673,
2020-05-03,149972.801800347,
2020-05-04,150083.27457896975,
2020-05-05,150182.63192436766,
2020-05-06,150272.17603693675,
2020-05-07,150353.03915152678,
2020-05-08,150426.20752496875,
2020-05-09,150492.54184893635,
2020-05-10,150552.79463762173,
2020-05-11,150607.62505512236,
2020-05-12,150657.61157524236,
2020-05-13,150703.26280510833,
2020-05-14,150745.0267521106,
2020-05-15,150783.29876988387,
2020-05-16,150818.42838213398,
2020-05-17,150850.72515205923,
2020-05-18,150880.4637386942,
2020-05-19,150907.888259749,
2020-05-20,150933.21606653853,
2020-05-21,150956.64100756912,
2020-05-22,150978.3362586799,
2020-05-23,150998.4567838276,
2020-05-24,151017.14147615316,
2020-05-25,151034.5150235576,
2020-05-26,151050.68953698588,
2020-05-27,151065.7659737878,
2020-05-28,151079.83538663073,
2020-05-29,151092.98001581652,
2020-05-30,151105.2742494626,
2020-05-31,151116.78547096666,
