date,S,I,R,susceptible,infected,recovered,cases,forecast
2020-02-24,204049.0958628195,221.0,8.0,204049.0958628195,221.0,8.0,229.0,229.0
2020-02-25,203967.0080398763,296.48816552643876,14.59965741675607,203956.0958628195,311.0,11.0,322.0,311.08782294319485
2020-02-26,203856.94111386914,397.70181402676985,23.452934923576137,203878.0958628195,385.0,15.0,400.0,421.154748950346
2020-02-27,203709.40814516076,533.3604084478715,35.32730921081355,203628.0958628195,588.0,62.0,650.0,568.687717658685
2020-02-28,203511.7448666017,715.1010258533635,51.2499703643824,203390.0958628195,821.0,67.0,888.0,766.3509962177459
2020-02-29,203247.07703526816,958.4244452647948,72.59438228645227,203150.0958628195,1049.0,79.0,1128.0,1031.018827551247
2020-03-01,202892.97705394833,1283.9241558144547,101.1946530566061,202584.0958628195,1577.0,117.0,1694.0,1385.1188088710608
2020-03-02,202419.73652300812,1718.8635328967,139.4958069145765,202242.0958628195,1835.0,201.0,2036.0,1858.3593398112764
2020-03-03,201788.18076614648,2299.1653574220677,190.74973925084055,201776.0958628195,2263.0,239.0,2502.0,2489.9150966729085
2020-03-04,200946.96774127748,3071.86000807828,259.2681134636444,201189.0958628195,2706.0,383.0,3089.0,3331.1281215419244
2020-03-05,199829.36361384415,4097.988165319916,350.74408365533606,200420.0958628195,3296.0,562.0,3858.0,4448.732248975252
2020-03-06,198349.59706071313,5455.845411010762,472.65339109553753,199642.0958628195,3916.0,720.0,4636.0,5928.4988021063
2020-03-07,196399.10275569255,7244.252979423223,634.7401277036428,198395.0958628195,5061.0,822.0,5883.0,7878.993107126866
2020-03-08,193843.3210377828,9585.194544715994,849.5802803206303,196903.0958628195,6387.0,988.0,7375.0,10434.774825036624
2020-03-09,190520.27036836903,12624.63262884587,1133.1928656045438,195106.0958628195,7985.0,1187.0,9172.0,13757.825494450413
2020-03-10,188769.34426881518,14033.427038731737,1475.324555272556,194129.0958628195,8514.0,1635.0,10149.0,15508.751594004294
2020-03-11,186843.1324108122,15579.5709937684,1855.3924582388552,191816.0958628195,10590.0,1872.0,12462.0,17434.963452007254
2020-03-12,184729.18697444923,17271.86997583101,2277.0389125392376,189165.0958628195,12839.0,2274.0,15113.0,19548.90888837025
2020-03-13,182415.33020958034,19118.63894527698,2744.126707962155,186618.0958628195,14955.0,2705.0,17660.0,21862.765653239134
2020-03-14,179889.95715258265,21127.415764086512,3260.722946150313,183121.0958628195,17750.0,3407.0,21157.0,24388.138710236824
2020-03-15,177142.38848389685,23304.63251671141,3831.0748622111832,179531.0958628195,20603.0,4144.0,24747.0,27135.70737892259
2020-03-16,174163.26789583845,25655.251068466176,4459.576898514809,176298.0958628195,23073.0,4907.0,27980.0,30114.827966980985
2020-03-17,170944.9987354479,28182.369251514403,5150.727875857126,172772.0958628195,26062.0,5444.0,31506.0,33333.097127371526
2020-03-18,167482.2062007797,30886.811779714546,5909.077882325176,168565.0958628195,28710.0,7003.0,35713.0,36795.88966203972
2020-03-19,163772.20848821563,33766.72275634012,6739.1646182637005,163243.0958628195,33190.0,7845.0,41035.0,40505.887374603815
2020-03-20,159815.47370050565,36817.182636207355,7645.439526106429,157257.0958628195,37860.0,9161.0,47021.0,44462.62216231378
2020-03-21,155616.03672073802,40029.87446610956,8632.18467597184,150700.0958628195,42681.0,10897.0,53578.0,48662.0591420814
2020-03-22,151181.84503052174,43392.82883016053,9703.422002137122,145140.0958628195,46638.0,12500.0,59138.0,53096.25083229765
2020-03-23,146525.00203902798,46890.2764935688,10862.817330222631,140351.0958628195,50418.0,13509.0,63927.0,57753.09382379144
2020-03-24,141661.87822519548,50502.635366571325,12113.582271052586,135102.0958628195,54030.0,15146.0,69176.0,62616.21763762391
2020-03-25,136613.06467036332,54206.6534321611,13458.377760294992,129892.0958628195,57521.0,16865.0,74386.0,67665.0311924561
2020-03-26,131403.15188922704,57975.720555539796,14899.223418052585,123739.0958628195,62013.0,18526.0,80539.0,72874.94397359238
2020-03-27,126060.32704935863,61780.351707685164,16437.417105775647,117780.0958628195,66414.0,20084.0,86498.0,78217.7688134608
2020-03-28,120615.79832847556,65588.82850150728,18073.469032836616,111806.0958628195,70065.0,22407.0,92472.0,83662.29753434389
2020-03-29,115103.06570273645,69367.97608434728,19807.0540757357,106589.0958628195,73880.0,23809.0,97689.0,89175.03016008297
2020-03-30,109557.07386456565,73084.03655213722,21636.985446116563,102539.0958628195,75528.0,26211.0,101739.0,94721.02199825378
