date,cases,dead,recovered
2020-02-24,229,7,1
2020-02-25,322,10,1
2020-02-26,400,12,3
2020-02-27,650,17,45
2020-02-28,888,21,46
2020-02-29,1128,29,50
2020-03-01,1694,34,83
2020-03-02,2036,52,149
2020-03-03,2502,79,160
2020-03-04,3089,107,276
2020-03-05,3858,148,414
2020-03-06,4636,197,523
2020-03-07,5883,233,589
2020-03-08,7375,366,622
2020-03-09,9172,463,724
2020-03-10,10149,631,1004
2020-03-11,12462,827,1045
2020-03-12,15113,1016,1258
2020-03-13,17660,1266,1439
2020-03-14,21157,1441,1966
2020-03-15,24747,1809,2335
2020-03-16,27980,2158,2749
2020-03-17,31506,2503,2941
2020-03-18,35713,2978,4025
2020-03-19,41035,3405,4440
2020-03-20,47021,4032,5129
2020-03-21,53578,4825,6072
2020-03-22,59138,5476,7024
2020-03-23,63927,6077,7432
2020-03-24,69176,6820,8326
2020-03-25,74386,7503,9362
2020-03-26,80539,8165,10361
2020-03-27,86498,9134,10950
2020-03-28,92472,10023,12384
2020-03-29,97689,10779,13030
2020-03-30,101739,11591,14620
2020-03-31,105792,12428,15729
2020-04-01,110574,13155,16847
2020-04-02,115242,13915,18278
2020-04-03,119827,14681,19758
2020-04-04,124632,15362,20996
2020-04-05,128948,15887,21815
2020-04-06,132547,16523,22837
2020-04-07,135586,17127,24392
2020-04-08,139422,17669,26491
2020-04-09,143626,18279,28470
2020-04-10,147577,18849,30455
2020-04-11,152271,19468,32534
2020-04-12,156363,19899,34211
2020-04-13,159516,20465,35435
2020-04-14,162488,21067,37130
2020-04-15,165155,21645,38092
2020-04-16,168941,22170,40164
2020-04-17,172434,22745,42727
2020-04-18,175925,23227,44927
2020-04-19,178972,23660,47055
2020-04-20,181228,24114,48877
2020-04-21,183957,24648,51600
2020-04-22,187327,25085,54543
2020-04-23,189973,25549,57576
2020-04-24,192994,25969,60498
2020-04-25,195351,26384,63120
2020-04-26,197675,26644,64928
2020-04-27,199414,26977,66624
2020-04-28,201505,27359,68941
2020-04-29,203591,27682,71252
2020-04-30,205463,27967,75945
2020-05-01,207428,28236,78249
2020-05-02,209328,28710,79914
2020-05-03,210717,28884,81654
2020-05-04,211938,29079,82879
2020-05-05,213013,29315,85231
